Sl.No,Author,Tweets,Tweet_Type
44,twittingoak,RT @cosydell: "Daily Report: Divide Grows Between Silicon Valley and Trump" by JIM KERSTETTER via NYT https://t.co/kd0DiwYI5m https://t.co/…,Neutral
45,NachoGallegos63,#Social: Ante orden de Trump, Starbucks contratará 10,000 refugiados
https://t.co/9EwBSP0cpn https://t.co/skaIqulkjc,Positive
46,leaswitzerca,RT @jaketapper: House GOP aide: "Fun fact: under Bush fewer refugees came in than the limit Trump just set. But hey it's Trump so let's los…,Positive
47,ForeigPolicynew,Trump's immigration order is bad foreign policy - https://t.co/5cETruP9V4 https://t.co/Pbpi6vZYFs,Negative
48,Seattlenewsdail,Washington state sues Trump over immigration order - KIRO Seattle https://t.co/G44mbapYNA,Neutral
49,melraymargaret,RT @djrothkopf: The principle requirement Trump set for his new acting attorney general was willingness to ignore the law.,Positive
50,John_Correia84,RT @TempletonTJones: @aliamjadrizvi Why "Trump backer"

Why not "Feminist" since he belonged to a Feminist group. https://t.co/wjSOdFd25g,Neutral
51,lalwanimanish,@shrutivellody Hahah. Very nice. Who will suffer in this?  Trump? He uses emirates to travel?,Positive
52,aweenuh,RT @CharoShane: Fuck, I totally missed #presidentbannon explicitly saying Trump is just a convenient (and very stupid) tool https://t.co/TN…,Negative
53,Intermarketnews,Anti-Trump protesters gather at Google headquarters - CNBC https://t.co/sTcLLTklM8,Neutral
54,RWatkinsphoto,RT @GeorgeTakei: It should concern all Americans that those cheering loudest for Trump's new immigration policies are the jihadists and the…,Positive
55,bluorangefyre,RT @WillMcAvoyACN: The great irony is that President Donald Trump is everything they hyperbolically accused President Barack Obama of being.,Positive
56,beth4hope,RT @KamalaHarris: It is clear that the resistance to Trump’s radical agenda will be led by courageous women fighting for our future. https:…,Positive
57,uk_expat,RT @AP: BREAKING: Trump fires acting Attorney General Sally Yates after she orders Justice Department lawyers to stop defending refugee ban.,Positive
58,SergeBohemio,RT @PhillyD: ALL Liberals are toxic regressive snowflakes.
ALL Trump supporters are bigots + Nazis.
If you spout shit like this youre part…,Negative
59,elizapublishing,RT @MariamVeiszadeh: This is the "terrorist" who murdered 6 innocent Canadian Muslims in #QuebecCityMosqueShooting 1 day after Trump's #Mus…,Positive
60,NicMar,RT @jaketapper: House GOP aide: "Fun fact: under Bush fewer refugees came in than the limit Trump just set. But hey it's Trump so let's los…,Positive
61,YsasWorld,RT @BillKristol: Hey, Republicans in Congress (and out): Try uttering the simple statement, "On this I disagree with President Trump." It's…,Neutral
62,5uhaila,RT @tedlieu: Thank you Sally Yates. You knew Trump (who lost the popular vote) would fire you for following the Constitution. My kids will…,Positive
63,Joycep7777,RT @DailyCaller: De Blasio Blasts Trump’s Order As Affront To Religious Liberty, But Tried To Drive Chick-Fil-A Out Of Business https://t.c…,Neutral
64,weshouldallcare,RT @AnnCoulter: They say Trump's order will create terrorists, that Muslims will become mass murderers if told about it. Sounds like an arg…,Neutral
65,DaveLindbergh,@elonmusk I don't support Trump, but you ARE doing the right thing. Don't be intimidated by the noisy intolerant. We're still with you Elon.,Positive
66,DonLeSac,RT @Fox_Claire: I hate Trump ban but condemning it cos bans refugees when UK hardly welcomes them w open arms shows dangers of outrage poli…,Negative
67,sparrowtraps,RT @nickbilton: Fox News is doing a poll to ask if viewers support Trump's immigration policy and his first week in office. Go vote. https:…,Positive
68,jakob_glass,RT @AltStateDpt: Remember today. Trump issued an executive order halting Syrian refugee intake. Today is also Holocaust Remembrance Day. #R…,Neutral
69,ronaldnzimora,@ofure_20 👍🏾 but Trump haters here are too jaundiced to see this as common sense. @AriFleischer,Negative
70,dineo_b,RT @gaysexual: when u wanna impeach trump but then pence gonna be president and then u impeach pence and then paul ryan gonna be president…,Neutral
71,Meneer_Noll,Man Ranting About Trump Protesters Gets Hit By Left Leaning Driver: Title says it all https://t.co/8yLJIoR3PH,Neutral
72,ArchAngelReb0rn,RT @GartrellLinda: Anti-Trump Rep John Lewis &amp; Top Aide Hit W Ethics Complaint 
OOPS! Now he's caught for the SECOND TIME violating law
htt…,Positive
73,hopson3233,RT @pattonoswalt: Trump: "You leave this White House now!" Sally Yates rides bus to city. Becomes a taxi dancer. Leads dance revolt against…,Neutral
74,butterfliesblue,I wonder if Trump is getting rid of people this fast so that they won't be able to get any dirt on him.,Positive
75,AbbeySharp32,RT @kurteichenwald: SEVEN HOURS after fact, Fox STILL won't correct this lie that leads ppl to believe shooter was Muslim rather than an al…,Neutral
76,DeeLoralei,RT @B_4_I_Go: We need to remove Trump from office.  Dishonest election. Hillary won.  All other problems solved - No Bannon, no Sessions, U…,Negative
77,drpfk,RT @politico: "What’s happened in the last 72 hours has to worry business because the administration looks so incompetent" https://t.co/aGC…,Negative
78,vkalb77,RT @boye_g: Las empresas israelíes se frotan las manos con el muro de Trump https://t.co/jpM6ZuVyPt,Neutral
79,phillipbagshaw,RT @gaysexual: when u wanna impeach trump but then pence gonna be president and then u impeach pence and then paul ryan gonna be president…,Neutral
80,Cosmo_Draws,RT @TheLifeOfGerm: "President Trump Fires Acting Attorney General Sally Yates After She Defied Immigration Order" #business #feedly https:/…,Positive
81,PBHenningsen,RT @darreldrowland: BREAKING: Donald Trump's treasury pick Mnuchin misled Senate on foreclosures, Ohio cases show - Columbus Dispatch  http…,Neutral
82,Storyspheare,RT @H_Town_74: Rep. Maxine Waters(D-CA) will hold a press conference re TRUMP-RUSSIA tomorrow at 8:30AM(ET) #TheResistance #CNN #msnbc http…,Neutral
83,yunusa_ysf,The YNaija Tracklist: Apostle Suleiman freed after DSS interrogation | Trump sacks defiant acting attorney general… https://t.co/9ohueCaJDr,Neutral
84,TimTbw1000,Gotta love Trump..he is removing the cancers.. https://t.co/4KnIGKAABx,Positive
85,OldThunderAhab,RT @AASchapiro: .@GlennKesslerWP estimates around 90,000 people's mobility impacted by Trump's #MuslimBan https://t.co/F5NbyMTZPW,Neutral
86,Biblereport,Israel's prime minister is facing a sharp backlash after getting involved in Trump's border-wall debate - Business… https://t.co/HmCHhZinOQ,Negative
87,Bill1phd,RT @RealDonalDrumpf: Shooter was actually a white Trump supporter but, 12 hours later, great to see @FoxNews sticking w/#AlternativeFacts!…,Positive
88,krista_clausen,RT @KamalaHarris: History will look favorably on Sally Yates, who stood up for what she felt was right in opposition to the Trump administr…,Positive
89,HumanitaAffairs,Possible Trump Action Specifically Targeting LGBTQ People - Human Rights Campaign (blog) https://t.co/IsPGObLG9z,Positive
90,nytimes,RT @nytopinion: In this reign of bigotry, Bannon may be the brain and Trump the brawn, writes @CharlesMBlow https://t.co/YXJjNPdfjF https:/…,Neutral
91,ArtTalkHawaii,RT @Variety: Lily Tomlin likened the political tactics of Donald Trump to those employed in Nazi Germany https://t.co/wbZz9IMqvj https://t.…,Neutral
92,ReeseMwreese,RT @silenceconsent: BREAKING: President Trump Just Fired Acting Attorney General For Defying Muslim Ban https://t.co/ImhYquhVLd via @silenc…,Positive
93,Victor_D_A,RT @elconfidencial: #LoMásLeído: Trump cesa a la fiscal general por desafiar su veto migratorio: "Es muy débil" https://t.co/RCYWEZi4T6,Positive
94,eikaxss,独裁者にでもなるつもりなん…？？
国は、企業と同じように動かせへんやん。
ワンマン経営の会社ならそれでいいんかもしれへんけど、国やで。国民と社員じゃ規模が違うのに。

トランプ米大統領、入国制限に反対した司法長官代行を解任 https://t.co/7FovxKnPTA,Neutral
95,Israel24x7,Israel PM Netanyahu Vows to Push Trump on Iran Sanctions - Newsweek https://t.co/jpu275lNK9,Neutral
96,lindakpilgrim,RT @SecDef19: NYT Op-Ed from @BulletinAtomic scientists @LKrauss1 &amp; David Titley about #doomsdayclock clock moving 30 sec. closer https://t…,Negative
97,Spotter242,@MaxBoot @maddow This should scare the heck out of people. Bannon is a white surpemicist who is manipulating Trump, who doesn't have a clue.,Neutral
98,PedroRudoTK,Trump, fuente de humillaciones https://t.co/sNOfbCrMYz https://t.co/KGSXzvgKi1,Neutral
99,ThatJackDaniel,Retweeted Kemberlee Kaye (@KemberleeKaye):

This is all quite simple — Trump is governing like a CEO and not a bureaucrat.,Neutral
